Tree	Genotype	Treatment	Timepoint	Height
1	S21K1827020	drought	2	102
1	S21K1827020	drought	3	102
1	S21K1827020	drought	4	105
1	S21K1827020	drought	5	110
1	S21K1827020	drought	6	110
1	S21K1827020	drought	7	111
1	S21K1827020	drought	8	116
1	S21K1827020	drought	9	116
4	S21K1827020	drought	1	77.5
4	S21K1827020	drought	2	86
4	S21K1827020	drought	2	82.5
4	S21K1827020	drought	3	85
4	S21K1827020	drought	4	85
4	S21K1827020	drought	5	85.5
4	S21K1827020	drought	5	85
4	S21K1827020	drought	6	85.5
4	S21K1827020	drought	7	85.5
4	S21K1827020	drought	8	86
4	S21K1827020	drought	9	86
13	S21K1825725	drought	1	62.5
13	S21K1825725	drought	1	62.5
13	S21K1825725	drought	2	69
13	S21K1825725	drought	2	68
13	S21K1825725	drought	2	68
13	S21K1825725	drought	2	66
13	S21K1825725	drought	3	66
13	S21K1825725	drought	4	69.5
13	S21K1825725	drought	4	69
13	S21K1825725	drought	5	69.5
13	S21K1825725	drought	5	69
13	S21K1825725	drought	6	69
13	S21K1825725	drought	7	69
13	S21K1825725	drought	7	69
13	S21K1825725	drought	8	68
13	S21K1825725	drought	9	68
16	S21K1826703	control	1	73.5
16	S21K1826703	control	2	77.4
16	S21K1826703	control	3	78
16	S21K1826703	control	4	78
16	S21K1826703	control	5	78.5
16	S21K1826703	control	5	78.5
16	S21K1826703	control	6	80
16	S21K1826703	control	6	78
16	S21K1826703	control	7	81
16	S21K1826703	control	7	78
16	S21K1826703	control	8	82
16	S21K1826703	control	9	80
16	S21K1826703	control	9	78
19	S21K1825725	drought	1	67
19	S21K1825725	drought	2	71
19	S21K1825725	drought	3	71
19	S21K1825725	drought	3	70
19	S21K1825725	drought	3	67
19	S21K1825725	drought	4	72
19	S21K1825725	drought	4	71
19	S21K1825725	drought	5	70
19	S21K1825725	drought	6	71
19	S21K1825725	drought	6	70
19	S21K1825725	drought	7	72
19	S21K1825725	drought	7	71
19	S21K1825725	drought	8	72
19	S21K1825725	drought	8	70
19	S21K1825725	drought	9	70.5
19	S21K1825725	drought	9	70
20	S21K1825725	control	1	64
20	S21K1825725	control	1	55
20	S21K1825725	control	2	64
20	S21K1825725	control	2	62
20	S21K1825725	control	3	64
20	S21K1825725	control	4	64
20	S21K1825725	control	5	66
20	S21K1825725	control	5	62
20	S21K1825725	control	6	64
20	S21K1825725	control	7	64
20	S21K1825725	control	7	64
20	S21K1825725	control	8	64
20	S21K1825725	control	9	64
20	S21K1825725	control	9	64
21	S21K1825725	control	1	58
21	S21K1825725	control	2	58
21	S21K1825725	control	3	65
21	S21K1825725	control	3	58
21	S21K1825725	control	4	65
21	S21K1825725	control	5	58
21	S21K1825725	control	6	65
21	S21K1825725	control	6	58
21	S21K1825725	control	8	65
21	S21K1825725	control	8	58
21	S21K1825725	control	9	58
24	S21K1825725	control	1	63
24	S21K1825725	control	2	74
24	S21K1825725	control	2	72
24	S21K1825725	control	2	69.5
24	S21K1825725	control	3	73
24	S21K1825725	control	3	72
24	S21K1825725	control	3	72
24	S21K1825725	control	4	74
24	S21K1825725	control	4	74
24	S21K1825725	control	4	72
24	S21K1825725	control	4	72
24	S21K1825725	control	5	74
24	S21K1825725	control	5	73
24	S21K1825725	control	5	72
24	S21K1825725	control	6	73
24	S21K1825725	control	6	73
24	S21K1825725	control	7	72
24	S21K1825725	control	7	72
24	S21K1825725	control	8	73
24	S21K1825725	control	8	72
24	S21K1825725	control	8	72
24	S21K1825725	control	9	74
24	S21K1825725	control	9	73
25	S21K1825725	drought	1	66.5
25	S21K1825725	drought	4	73
25	S21K1825725	drought	5	73
25	S21K1825725	drought	5	73
25	S21K1825725	drought	6	73
25	S21K1825725	drought	8	73
25	S21K1825725	drought	9	73
26	S21K1825725	control	2	68
26	S21K1825725	control	9	72.5
27	S21K1825725	control	1	69
27	S21K1825725	control	3	70
27	S21K1825725	control	6	74.5
27	S21K1825725	control	7	74.5
27	S21K1825725	control	8	75
30	S21K1825725	control	1	53.5
30	S21K1825725	control	4	57.5
30	S21K1825725	control	7	59
36	S21K1825725	drought	3	63
36	S21K1825725	drought	6	75
36	S21K1825725	drought	7	74.5
36	S21K1825725	drought	8	74
36	S21K1825725	drought	9	73.5
37	S21K1825725	drought	1	71.5
37	S21K1825725	drought	2	77.5
37	S21K1825725	drought	3	78
37	S21K1825725	drought	4	79
37	S21K1825725	drought	5	80
