Tree	Genotype	Treatment	Height
1	S21K1827020	D	102
1	S21K1827020	D	102
1	S21K1827020	D	105
1	S21K1827020	D	110
1	S21K1827020	D	110
1	S21K1827020	D	111
1	S21K1827020	D	116
1	S21K1827020	drought	116
4	S21K1827020	D	"77,5"
4	S21K1827020	D	86
4	S21K1827020	D	82.5
4	S21K1827020	D	85
4	S21K1827020	D	85
4	S21K1827020	D	85.5
4	S21K1827020	D	85
4	S21K1827020	D	85.5
4	S21K1827020	D	85.5
4	S21K1827020	D	86
4	S21K1827020	drought	86
13	S21K1825725	D	"62,5"
13	S21K1825725	D	"62,5"
13	S21K1825725	D	69
13	S21K1825725	D	68
13	S21K1825725	D	68
13	S21K1825725	D	66
13	S21K1825725	D	66
13	S21K1825725	D	69.5
13	S21K1825725	D	69
13	S21K1825725	D	69.5
13	S21K1825725	D	69
13	S21K1825725	D	69
13	S21K1825725	D	69
13	S21K1825725	D	69
13	S21K1825725	D	68
13	S21K1825725	drought	68
16	S21K1826703	C	"73,5"
16	S21K1826703	C	77.4
16	S21K1826703	C	78
16	S21K1826703	C	78
16	S21K1826703	C	78.5
16	S21K1826703	C	78.5
16	S21K1826703	C	80
16	S21K1826703	C	78
16	S21K1826703	C	81
16	S21K1826703	C	78
16	S21K1826703	C	82
16	S21K1826703	control	80
16	S21K1826703	control	78
19	S21K1825725	D	67
19	S21K1825725	D	71
19	S21K1825725	D	71
19	S21K1825725	D	70
19	S21K1825725	D	67
19	S21K1825725	D	72
19	S21K1825725	D	71
19	S21K1825725	D	70
19	S21K1825725	D	71
19	S21K1825725	D	70
19	S21K1825725	D	72
19	S21K1825725	D	71
19	S21K1825725	D	72
19	S21K1825725	D	70
19	S21K1825725	drought	70.5
19	S21K1825725	drought	70
20	S21K1825725	C	64
20	S21K1825725	C	55
20	S21K1825725	C	64
20	S21K1825725	C	62
20	S21K1825725	C	64
20	S21K1825725	C	64
20	S21K1825725	C	66
20	S21K1825725	C	62
20	S21K1825725	C	64
20	S21K1825725	C	64
20	S21K1825725	C	64
20	S21K1825725	C	64
20	S21K1825725	control	64
20	S21K1825725	control	64
21	S21K1825725	C	58
21	S21K1825725	C	58
21	S21K1825725	C	65
21	S21K1825725	C	58
21	S21K1825725	C	65
21	S21K1825725	C	58
21	S21K1825725	C	65
21	S21K1825725	C	58
21	S21K1825725	C	65
21	S21K1825725	C	58
21	S21K1825725	control	58
24	S21K1825725	C	63
24	S21K1825725	C	74
24	S21K1825725	C	72
24	S21K1825725	C	69.5
24	S21K1825725	C	73
24	S21K1825725	C	72
24	S21K1825725	C	72
24	S21K1825725	C	74
24	S21K1825725	C	74
24	S21K1825725	C	72
24	S21K1825725	C	72
24	S21K1825725	C	74
24	S21K1825725	C	73
24	S21K1825725	C	72
24	S21K1825725	C	73
